name,score,price
"study",0.60499316,2679.0
"gaming",0.5037336,2679.0
"design",0.5138869,2679.0
"dev",0.5706736,2679.0
"study",0.75040454,10999.0
"gaming",0.5494408,10999.0
"design",0.6038088,10999.0
"dev",0.68472785,10999.0
"study",0.6023775,3599.0
"gaming",0.50133026,3599.0
"design",0.51845443,3599.0
"dev",0.5728844,3599.0
"study",0.6074674,6129.0
"gaming",0.51992244,6129.0
"design",0.5486524,6129.0
"dev",0.6112675,6129.0
"study",0.5992316,2859.0
"gaming",0.50063175,2859.0
"design",0.516637,2859.0
"dev",0.56941503,2859.0
"study",0.6028471,3799.0
"gaming",0.5035513,3799.0
"design",0.51349705,3799.0
"dev",0.5703545,3799.0
"study",0.605205,3299.0
"gaming",0.5037516,3299.0
"design",0.51392543,3299.0
"dev",0.57070506,3299.0
"study",0.7000807,6490.0
"gaming",0.53734124,6490.0
"design",0.581319,6490.0
"dev",0.6603118,6490.0
"study",0.6275425,7149.0
"gaming",0.5504451,7149.0
"design",0.5630307,7149.0
"dev",0.59692836,7149.0
"study",0.60826224,5229.0
"gaming",0.50401115,5229.0
"design",0.5144809,5229.0
"dev",0.5711596,5229.0
"study",0.5931485,4399.0
"gaming",0.49980947,4399.0
"design",0.5239471,4399.0
"dev",0.57599926,4399.0
"study",0.61191154,6085.0
"gaming",0.55892056,6085.0
"design",0.5500978,6085.0
"dev",0.57381713,6085.0
"study",0.63106793,3299.0
"gaming",0.51312834,3299.0
"design",0.53301096,3299.0
"dev",0.5901667,3299.0
"study",0.6070383,2990.0
"gaming",0.5038227,2990.0
"design",0.5147318,2990.0
"dev",0.571744,2990.0
"study",0.6094474,3429.0
"gaming",0.5045431,3429.0
"design",0.51594204,3429.0
"dev",0.5743375,3429.0
"study",0.6294677,5229.0
"gaming",0.5329149,5229.0
"design",0.53625387,5229.0
"dev",0.59605503,5229.0
"study",0.6391621,6959.0
"gaming",0.514247,6959.0
"design",0.5357273,6959.0
"dev",0.5943717,6959.0
"study",0.62403184,4299.0
"gaming",0.5153328,4299.0
"design",0.5401197,4299.0
"dev",0.5954551,4299.0
"study",0.60827166,5399.0
"gaming",0.5161838,5399.0
"design",0.5486347,5399.0
"dev",0.6015096,5399.0
"study",0.6044621,5399.0
"gaming",0.51542896,5399.0
"design",0.5466967,5399.0
"dev",0.5979415,5399.0
"study",0.60314065,2949.0
"gaming",0.5034917,2949.0
"design",0.51402366,2949.0
"dev",0.5711646,2949.0
"study",0.57601535,1999.0
"gaming",0.4785992,1999.0
"design",0.48047087,1999.0
"dev",0.5354058,1999.0
"study",0.5697439,2090.0
"gaming",0.48253638,2090.0
"design",0.4814099,2090.0
"dev",0.5356592,2090.0
"study",0.5964561,3199.0
"gaming",0.5030086,3199.0
"design",0.5123359,3199.0
"dev",0.5694044,3199.0
"study",0.605205,3811.0
"gaming",0.5037516,3811.0
"design",0.51392543,3811.0
"dev",0.57070506,3811.0
"study",0.57973194,3249.0
"gaming",0.4751317,3249.0
"design",0.4789849,3249.0
"dev",0.5429629,3249.0
"study",0.56880397,2390.0
"gaming",0.48245656,2390.0
"design",0.4812391,2390.0
"dev",0.5355194,2390.0
"study",0.59524935,3149.0
"gaming",0.50290614,3149.0
"design",0.5121167,3149.0
"dev",0.569225,3149.0
"study",0.6429942,6990.0
"gaming",0.5196683,6990.0
"design",0.53933764,6990.0
"dev",0.59624165,6990.0
"study",0.6308342,4099.0
"gaming",0.51353985,4099.0
"design",0.5342143,4099.0
"dev",0.5931336,4099.0
"study",0.6070235,3929.0
"gaming",0.5263908,3929.0
"design",0.5268675,3929.0
"dev",0.5776424,3929.0
"study",0.5960195,2690.0
"gaming",0.49962196,2690.0
"design",0.5232229,2690.0
"dev",0.5734244,2690.0
"study",0.628562,3199.0
"gaming",0.51291555,3199.0
"design",0.5325557,3199.0
"dev",0.58979416,3199.0
"study",0.6340596,3399.0
"gaming",0.5189096,3399.0
"design",0.53771436,3399.0
"dev",0.59491336,3399.0
"study",0.6197982,3499.0
"gaming",0.5078928,3499.0
"design",0.51981694,3499.0
"dev",0.5796647,3499.0
"study",0.68642586,8590.0
"gaming",0.63406557,8590.0
"design",0.652365,8590.0
"dev",0.66599166,8590.0
"study",0.6197982,3649.0
"gaming",0.5078928,3649.0
"design",0.51981694,3649.0
"dev",0.5796647,3649.0
"study",0.6278414,4999.0
"gaming",0.51091266,4999.0
"design",0.53677654,4999.0
"dev",0.59808046,4999.0
"study",0.5985679,2699.0
"gaming",0.50318795,2699.0
"design",0.5127196,2699.0
"dev",0.56971836,2699.0
"study",0.5999344,2799.0
"gaming",0.503304,2799.0
"design",0.5129678,2799.0
"dev",0.5699215,2799.0
"study",0.6288044,5799.0
"gaming",0.5325665,5799.0
"design",0.5385644,5799.0
"dev",0.59040594,5799.0
"study",0.57450336,2199.0
"gaming",0.4784708,2199.0
"design",0.48019615,2199.0
"dev",0.535181,2199.0
"study",0.74354297,5790.0
"gaming",0.64564264,5790.0
"design",0.65612185,5790.0
"dev",0.6937067,5790.0
"study",0.62565815,3749.0
"gaming",0.51266897,3749.0
"design",0.5320281,3749.0
"dev",0.58936244,3749.0
"study",0.64910096,5869.0
"gaming",0.5451199,5869.0
"design",0.5760154,5869.0
"dev",0.6340577,5869.0
"study",0.6105632,4098.0
"gaming",0.50412196,4098.0
"design",0.5153722,4098.0
"dev",0.57226807,4098.0
"study",0.5149841,1399.0
"gaming",0.46149462,1399.0
"design",0.42545322,1399.0
"dev",0.514606,1399.0
"study",0.75116205,7469.0
"gaming",0.5495051,7469.0
"design",0.60394645,7469.0
"dev",0.68484044,7469.0
"study",0.6070089,4899.0
"gaming",0.51564527,4899.0
"design",0.54715943,4899.0
"dev",0.5983201,4899.0
"study",0.5931669,4379.0
"gaming",0.50135076,4379.0
"design",0.522913,4379.0
"dev",0.57520324,4379.0
"study",0.6340596,3999.0
"gaming",0.50473964,3999.0
"design",0.5231479,3999.0
"dev",0.5927326,3999.0
"study",0.60827166,6099.0
"gaming",0.5161838,6099.0
"design",0.5486347,6099.0
"dev",0.6015096,6099.0
"study",0.60162866,2990.0
"gaming",0.5033633,2990.0
"design",0.51374894,2990.0
"dev",0.5709398,2990.0
"study",0.6025073,3519.0
"gaming",0.5039538,3519.0
"design",0.51468116,3519.0
"dev",0.5733057,3519.0
"study",0.60162866,3349.0
"gaming",0.5033633,3349.0
"design",0.51374894,3349.0
"dev",0.5709398,3349.0
"study",0.62702465,3599.0
"gaming",0.512785,3599.0
"design",0.53227633,3599.0
"dev",0.58956563,3599.0
"study",0.6294677,4599.0
"gaming",0.50824887,4599.0
"design",0.5286849,4599.0
"dev",0.5919878,4599.0
"study",0.6937766,9995.0
"gaming",0.5429727,9995.0
"design",0.61181915,9995.0
"dev",0.68226194,9995.0
"study",0.6006797,2299.0
"gaming",0.50336725,2299.0
"design",0.51310325,2299.0
"dev",0.5700323,2299.0
"study",0.57450336,2249.0
"gaming",0.4784708,2249.0
"design",0.48019615,2249.0
"dev",0.535181,2249.0
"study",0.72668797,16089.0
"gaming",0.80471945,16089.0
"design",0.79526645,16089.0
"dev",0.7692093,16089.0
"study",0.568375,1789.0
"gaming",0.4777347,1789.0
"design",0.4784598,1789.0
"dev",0.5327691,1789.0
"study",0.6360463,3790.0
"gaming",0.51986206,3790.0
"design",0.54208386,3790.0
"dev",0.59645426,3790.0
"study",0.5774071,2199.0
"gaming",0.4787174,2199.0
"design",0.48072374,2199.0
"dev",0.5356127,2199.0
"study",0.6294677,4049.0
"gaming",0.50247604,4049.0
"design",0.5213992,4049.0
"dev",0.5912082,4049.0
"study",0.70110554,7690.0
"gaming",0.53742826,7690.0
"design",0.5815052,7690.0
"dev",0.66046417,7690.0
"study",0.5985679,2849.0
"gaming",0.50318795,2849.0
"design",0.5127196,2849.0
"dev",0.56971836,2849.0
"study",0.60229236,3389.0
"gaming",0.50194776,3389.0
"design",0.5178022,3389.0
"dev",0.5708237,3389.0
"study",0.6419762,4401.0
"gaming",0.51448596,4401.0
"design",0.53623855,4401.0
"dev",0.59479,4401.0
"study",0.6294677,4049.0
"gaming",0.50247604,4049.0
"design",0.5213992,4049.0
"dev",0.5912082,4049.0
"study",0.5764625,2049.0
"gaming",0.47863716,2049.0
"design",0.4805521,2049.0
"dev",0.5354723,2049.0
"study",0.6294677,3999.0
"gaming",0.5134238,3999.0
"design",0.533966,3999.0
"dev",0.59293044,3999.0
"study",0.56283075,3090.0
"gaming",0.47935852,3090.0
"design",0.46782488,3090.0
"dev",0.53345335,3090.0
"study",0.65566826,4099.0
"gaming",0.4784797,4099.0
"design",0.4792491,4099.0
"dev",0.57965946,4099.0
"study",0.632936,6199.0
"gaming",0.5585091,6199.0
"design",0.57158166,6199.0
"dev",0.5984325,6199.0
"study",0.6387057,4090.0
"gaming",0.5318327,4090.0
"design",0.53734446,4090.0
"dev",0.59767026,4090.0
"study",0.605205,2799.0
"gaming",0.5037516,2799.0
"design",0.51392543,2799.0
"dev",0.57070506,2799.0
"study",0.74222344,5239.0
"gaming",0.6455306,5239.0
"design",0.6558821,5239.0
"dev",0.69351053,5239.0
"study",0.6439029,4679.0
"gaming",0.5123226,4679.0
"design",0.5384897,4679.0
